SampleID,EOVXX,EOVYY,OID_,esrignss_l,esrignss_1,esrignss_a,Medián_As,Medián_Ca,Medián_Cd,Medián_Co,Medián_Cr,Medián_Cu,Medián_Fe,Medián_K,Medián_Mn,Medián_Mo,Medián_Ni,Medián_Pb,Medián_Ti,Medián_V,Medián_Zn
07_0020_S,840142.5938,247445.7365,283,47.54328795,21.57373504,119.2535227,9.789993286,25018.92773,1.43905139,9.232092857,81.74166107,763.5673218,11002.19043,11033.0918,763.5673218,1.057002664,23.82277107,5.923521996,2700.812988,97.71666718,77.05760193
07_0021_S,840700.483,247159.4996,284,47.54055239,21.58101896,115.1144352,9.048071861,25498.38867,2.638907909,8.348674774,54.08542633,432.0385437,10543.70996,8902.424805,432.0385437,1.795088172,0.810018182,,2177.487549,65.98311615,81.57286072
07_0022_S,840662.0422,246951.8075,285,47.53869644,21.58041927,114.0441567,9.97183609,31249.83984,2.28047657,8.611176491,75.83752441,423.3937073,10405.18555,11586.93457,423.3937073,1.455587506,12.21887875,7.530965328,2427.073486,83.09164429,86.69016266
07_0023_S,840661.1306,246428.1727,286,47.53398926,21.58018195,116.0758176,11.17200375,27868.48047,2.427915335,10.82729435,56.88213348,520.6478882,13391.1748,11723.76855,520.6478882,1.56395781,9.781089783,18.71318054,2545.425781,78.40058899,92.48474121
07_0024_S,840216.0792,246362.8126,287,47.53353114,21.57424598,116.3841822,11.34657383,28607.56445,1.929670691,7.40299654,53.77468872,367.2024231,9084.932617,10453.18652,367.2024231,1.585999608,9.976110458,19.83140182,1971.37793,66.53501129,210.2577362
07_0027_S,841015.5455,246489.0828,288,47.53443352,21.58491292,111.4284374,13.20865059,27442.4082,3.787922621,6.667655945,42.27715302,211.1634827,8276.279297,5032.035645,211.1634827,2.61919713,,38.42184448,1356.269165,28.45475197,210.2577362
08_0028_S,842523.1856,246388.7326,289,47.53308972,21.60488272,119.2322412,7.971558094,26051.13086,2.542308331,4.582789421,35.13003922,22.24522781,6218.979492,5168.866699,234.0722351,2.199183226,,,1700.053589,44.8734169,63.51182556
08_0029_S,842293.289,246392.6554,290,47.53319255,21.6018327,124.6946234,11.70298672,25372.76563,1.650042772,8.284732819,88.57803345,41.22291565,10100.40625,5168.866699,363.7445068,0.934549212,17.8745594,23.25595856,2788.570801,90.54212189,119.2752838
08_0030_S,842175.4904,246196.3347,291,47.53146225,21.60018391,118.1651381,12.53219318,28216.03906,2.308438301,8.271270752,78.63423157,17.60393715,10609.79785,10876.71191,403.5106506,1.568243742,3.735368729,32.34150696,2828.826416,84.60932922,57.4914856
08_0031_S,842111.866,246284.9095,292,47.5322772,21.59937774,119.5794971,14.29243851,26598.64063,4.957273483,10.10709763,10.89199543,6.155434132,12728.08203,8517.990234,394.8658142,3.239421844,,48.90517044,1938.368042,51.22012329,27.38975334
