SampleID,EOVXX,EOVYY,OID_,esrignss_l,esrignss_1,esrignss_a,Medián_As,Medián_Ca,Medián_Cd,Medián_Co,Medián_Cr,Medián_Cu,Medián_Fe,Medián_K,Medián_Mn,Medián_Mo,Medián_Ni,Medián_Pb,Medián_Ti,Medián_V,Medián_Zn,Medián_As_Gi_Zscore,Medián_Ca_Gi_Zscore,Medián_Cd_Gi_Zscore,Medián_Co_Gi_Zscore,Medián_Cr_Gi_Zscore,Medián_Cu_Gi_Zscore,Medián_Fe_Gi_Zscore,Medián_K_Gi_Zscore,Medián_Mn_Gi_Zscore,Medián_Mo_Gi_Zscore,Medián_Ni_Gi_Zscore,Medián_Pb_Gi_Zscore,Medián_Ti_Gi_Zscore,Medián_V_Gi_Zscore,Medián_Zn_Gi_Zscore
02_0006_S,843155.074,257470.6574,128.0,47.63252663,21.61810786,148.7612092,9.622696877,34713.90234,1.393293738,6.982321262,64.49536133,27.19592667,8652.666992,11723.76855,396.5947876,1.086390972,20.70240021,4.17629528,2191.174561,74.53738403,67.1240387,-0.8284262097166156,1.7839195600497826,-0.4890792176382007,-1.1769621141080229,-0.7182390383913507,-0.46236057223367555,-1.2143113275629478,0.2629300830593513,-0.9684582355015023,-0.4799615162925423,0.26066753975277057,-0.8614381547802693,-0.9993827446618002,-0.6587464243087645,-0.9179770797876179
02_0007_S,840151.9594,256677.1093,129.0,47.62627373,21.57782656,144.4723157,8.931692123,32728.00781,1.103498936,8.331848145,65.89372253,36.16907883,10053.49609,12127.74902,789.0695801,0.936386645,17.8745594,0.052855194,2157.359619,73.70954895,141.5505524,-0.9877797816131177,1.2606198320860957,-0.8854196731909004,-0.5554522697461105,-0.6642643085407071,-0.4004600321715053,-0.6221840186686877,0.4526779199933064,1.8228740841911095,-0.8915478702344061,-0.02615286460063705,-0.9718852154796861,-1.0827860829906188,-0.7021808465392227,-0.037386573822943164
02_0008_S,840711.6605,255231.795,130.0,47.61311769,21.58464558,139.4796455,9.222640991,25213.64258,0.475607783,7.196024895,64.02924347,39.77896118,8663.705078,8817.71875,457.9729919,0.715357959,13.77907562,0.821632922,2170.241455,65.98311615,85.18506622,-0.9206836566057867,-0.7194779129229429,-1.744160630240675,-1.0785432434960138,-0.7362305169678872,-0.375557560549326,-1.2096455534382846,-1.1020286328220255,-0.5319283776322584,-1.49801298231948,-0.4415469382869919,-0.9512933701714297,-1.0510134977765333,-1.1075673210656007,-0.7042848272365123
06_0040_S,842644.1109,248752.565,131.0,,,,17.62,26279.35,1.2,10.83,78.94,42.98,13049.14,12264.58,907.5,1.36,20.9,82.415,2315.97,80.19,156.23,1.0158430385223076,-0.43865514285625584,-0.7534391290157836,0.5950442414030286,-0.1606967739153301,-0.35347546184144313,0.6440679241031192,0.5169468250731819,2.6651667995930466,0.2707751090589208,0.2807095631465655,1.2341991744954777,-0.691579282487876,-0.3621678971610486,0.13629591574617306
11_0022_S,844287.0568,247258.4551,133.0,47.5403872,21.62867784,165.08,18.80943108,29594.75391,2.496551991,9.109255791,46.62757492,48.44268799,11662.93848,9026.224609,577.2714844,1.775496006,6.270667553,92.51582336,2221.768799,62.94773102,216.3533478,3.0769364784282334,0.8147537960404907,0.8466857078405703,0.05898712229205582,-1.2007051600222551,-0.9237680405725712,0.2116027590038951,-0.6296413451611144,0.18889210586619895,0.7951935802349259,-0.8248797674428865,3.6127252847730613,-0.7292091445178414,-0.7507891306598191,1.4989473132789448
11_0023_S,844348.9017,247192.7445,134.0,47.53977812,21.62947008,170.42,20.33691597,28346.89648,1.817818999,9.553489685,61.54329681,47.2050209,11461.22363,9091.381836,459.2697144,1.28568387,8.22090435,107.192482,2100.196289,68.32865143,230.7269287,3.0618983391433026,1.2246306014754582,1.39335050053102,0.05208893796552969,-1.30376236322455,-0.9032582444490403,0.2048363180697707,-0.967452054868575,-0.005876895574217424,1.0660855090394719,-1.3019049291040343,3.5937102129347474,-0.7644691691072188,-0.939323304548537,1.9615634069108272
11_0024_S,844622.8509,247172.1229,135.0,,,,14.8015995,30028.1543,1.408547044,8.634734154,87.33505249,46.1736145,10287.91016,11358.88281,404.8074036,1.186802626,18.45963097,53.37805557,2505.169922,89.7142868,319.7527771,2.2538451301490423,0.5790823791242115,0.03220508421678285,-0.027837712729819997,-0.6125916044811655,-0.847589454699409,0.04427777084689916,-0.7276594744642654,-0.07715926004863095,-0.4011442987655818,-0.2024282358257273,2.7208404769660044,-0.10067585443249372,-0.3677630760292048,2.1690459014156325
08_0002_S,843591.3354,247288.7945,136.0,47.54086609,21.61945466,175.1,16.33635902,25423.01563,1.87628746,12.46792793,94.1714325,34.00314713,15093.88672,11782.4082,619.6310425,1.333134055,26.35807991,68.40415955,2803.062744,89.02444458,457.6186829,-0.11457393911945124,0.3688111891744332,1.9877633036469908,-1.2270913169417392,-2.1843448969383714,-0.9641798560654805,-1.0138893682036343,-1.6813956150631695,-1.1159943831033003,2.3760066811758636,-2.148533158716317,-0.0015881575226625983,-2.083156264420815,-2.1177046992640283,1.7072614254829523
11_0025_S,844933.4993,246984.3974,137.0,,,,12.8813324,25125.70703,0.68914175,9.497960091,71.48709869,34.62198639,11663.62793,10342.41797,444.5735474,0.792809665,22.75014687,35.69617844,2503.55957,78.40058899,98.58033752,2.721688552014298,0.5885378368139523,-0.08895268651638913,0.5593846968333309,-0.004597169060013992,0.024642677536726876,0.5792351893538527,-1.3161876349124406,-0.8564800732864969,-0.30322941699357275,-0.7806456568855941,3.190221725530323,-0.08238279424393806,-0.3736139524416328,3.2056056677587916
08_0003_S,843958.3238,247273.0404,138.0,,,,16.60548782,27377.50391,3.050722361,8.713821411,54.39618301,27.81476593,10909.61133,8270.390625,355.0996704,1.983053684,4.125409603,70.78038025,2063.966064,57.29088974,117.3186646,1.2998798087938395,0.2086269933249421,1.8571233531923845,-0.475769124434424,-2.3718678680473695,-1.130578416843381,-0.21208600109559078,-1.512524933974631,-0.41371957359969486,2.2299273785685414,-1.9813394626201424,1.622535724081416,-2.007381816240498,-1.962862942346753,1.9304946551173396
08_0004_S,843698.5782,246638.738,139.0,47.53499049,21.62059437,180.6,9.419032097,24405.4668,1.461930275,8.320069313,102.2507782,29.56813812,10168.70215,11997.43164,384.9242859,0.823117197,28.01577568,2.359188318,3513.980225,125.311058,90.90438843,-0.879779876129629,0.3549162607398955,1.3276398115565016,-1.8680865837325773,-0.6541793375380502,-1.085838489834506,-1.6497341666338494,-2.158825295584939,-1.1187842276203883,1.5893880212301197,-1.9849346917233985,-0.8337775491101334,-1.2350719536452308,-1.4603025460263996,0.5887148992884389
11_0027_S,844442.0989,246829.6068,141.0,,,,21.07156372,32046.50195,1.766978502,8.89723587,81.74166107,45.76106262,10723.4873,12010.46289,749.7355347,1.081186771,23.43272972,114.9501419,2808.69873,97.30275726,128.6068115,2.0790698859676695,2.218375040315592,1.6650437417500563,-0.6261834100822602,-0.9855105378571917,-0.8036925121437026,-0.5494944150409926,-1.1142878524261866,-0.06621508712652291,1.0126564679612629,-1.6865582681976337,2.4893899088783917,-0.9095474035551964,-1.1156142452944904,2.603649806060013
08_0005_S,843833.1025,246378.9221,142.0,47.53261497,21.62226654,174.0,12.37944508,30180.99609,1.705968618,6.926792145,83.29538727,36.37535477,8768.287109,8355.09668,522.8091431,1.519569278,8.513435364,30.03517914,1968.962402,56.32508469,128.004776,-0.3027814153119856,-0.2948286010631549,0.5569118542284776,-0.6670178110258091,1.057501146121704,-0.7896498428584098,-0.48094048477304163,-1.502055880543583,-0.5755658123623284,0.5994430837563677,-0.5985317105238752,-0.23118579870022232,0.17469665696051825,-0.37157333473278453,0.5630345700576421
08_0008_S,843994.275,246257.1038,146.0,47.53147211,21.62435265,180.4,17.17284012,26109.75586,2.082194805,12.854949,161.6029053,53.29026031,15953.58984,10068.75293,631.3015747,1.479465604,19.3372345,75.67260742,3253.927979,101.9937973,285.3615417,-0.6028509897472378,0.2894220699926626,1.0073686351707545,-0.897433510564189,1.0272324792526173,-0.8472025644677786,-0.716287595926497,-1.3525595938497073,-0.7707319295984776,0.8947724477732015,-0.8188654370804753,-0.5557225261832578,-0.006285549281967716,-0.47014572335913607,0.7996166720773038
06_0050_S,843275.0195,247936.75,152.0,47.54678456,21.61553779,163.94,9.28,24153.17,1.27,9.18,100.7,26.47,11388.79,12642.5,495.58,0.92,32.065,0.68,3464.06,115.65,55.01,0.678278115378005,-1.5304946572404825,-1.0605063680489206,1.654979220226701,1.2412744088063468,-0.38396093571008627,1.6996157309789792,1.913784193571338,0.822605278773837,-1.0599738834748176,2.5876690472515502,0.8619642211265904,2.193200673926019,2.0426757029515143,0.33938146333097996
06_0051_S,843236.4974,248212.1277,153.0,47.54927152,21.6151464,171.5,11.07,24855.62,0.85,11.13,100.08,48.24,13088.88,15470.36,654.64,0.86,35.82,18.08,3038.96,108.48,99.26,0.678278115378005,-1.5304946572404825,-1.0605063680489206,1.654979220226701,1.2412744088063468,-0.38396093571008627,1.6996157309789792,1.913784193571338,0.822605278773837,-1.0599738834748176,2.5876690472515502,0.8619642211265904,2.193200673926019,2.0426757029515143,0.33938146333097996
06_0052_S,843464.7265,248296.9211,154.0,47.54996637,21.61821391,167.42,24.35,24840.96,1.8,14.48,103.8,112.29,17009.21,12381.86,646.86,1.34,30.36,145.56,2814.33,104.06,329.16,0.678278115378005,-1.5304946572404825,-1.0605063680489206,1.654979220226701,1.2412744088063468,-0.38396093571008627,1.6996157309789792,1.913784193571338,0.822605278773837,-1.0599738834748176,2.5876690472515502,0.8619642211265904,2.193200673926019,2.0426757029515143,0.33938146333097996
08_0008_S,842709.237,247237.6974,162.0,,,,17.17284012,26109.75586,2.082194805,12.854949,161.6029053,53.29026031,15953.58984,10068.75293,631.3015747,1.479465604,19.3372345,75.67260742,3253.927979,101.9937973,285.3615417,0.9127228737559572,-0.4833446094847953,0.4531024945290209,1.5276123537425956,3.029972405290164,-0.2823509929824909,1.8717723386051974,-0.5144234211506662,0.7008072893243824,0.598568402460534,0.12220239717227063,1.0536030152179598,1.6218603401721878,0.7818224470939046,1.6641386694717382
